Wed Feb 19 17:35:48 2025 [ServerEventAutomation] playerEvent Durzo (account_id: 34, oid: 281475002490811, played: 1h 50m 52s, session: 28s) on dantooine at -3124 3779 - playerLoggedOut
Wed Feb 19 17:38:07 2025 [ServerEventAutomation] playerEvent wyatt (account_id: 46, oid: 281475004349354, played: 2h 22m 10s, session: 1h 29m 24s) on naboo at 4884 6064 - playerLoggedOut
Wed Feb 19 17:38:09 2025 [ServerEventAutomation] playerEvent Madrox (account_id: 46, oid: 281475004227767, played: 3h 30m 57s, session: 0s) on naboo at 4877 6065 - playerLoggedIn
Wed Feb 19 17:39:01 2025 [ServerEventAutomation] playerEvent Durzo (account_id: 34, oid: 281475002490811, played: 1h 50m 53s, session: 0s) on dantooine at -3124 3779 - playerLoggedIn
Wed Feb 19 17:41:48 2025 [ServerEventAutomation] playerEvent Revan-Shan (account_id: 1, oid: 281475000322880, played: 3d 5h 54m 14s, session: 0s) on corellia at 154 -5966 - playerLoggedIn
Wed Feb 19 17:41:54 2025 [ServerEventAutomation] playerEvent Row'ena (account_id: 39, oid: 281475003584246, played: 1d 0h 18m 38s, session: 0s) on corellia at -136 -5624 - playerLoggedIn
Wed Feb 19 17:42:08 2025 [ServerEventAutomation] playerEvent Herra (account_id: 22, oid: 281475003899271, played: 3h 8m 12s, session: 0s) on naboo at -5171 4267 - playerLoggedIn
Wed Feb 19 17:42:54 2025 [ServerEventAutomation] playerEvent Durzo (account_id: 34, oid: 281475002490811, played: 1h 54m 45s, session: 3m 51s) on dantooine at -3141 3803 - playerLoggedOut
Wed Feb 19 17:43:31 2025 [ServerEventAutomation] playerEvent Jinn (account_id: 1, oid: 281475003593187, played: 23h 25m 10s, session: 0s) on corellia at -136 -4722 - playerLoggedIn
Wed Feb 19 17:47:43 2025 [ServerEventAutomation] playerEvent Hue (account_id: 34, oid: 281475004489973, played: 1s, session: 0s) on tutorial at 673 1337 - playerLoggedIn
Wed Feb 19 17:50:34 2025 [ServerEventAutomation] playerEvent Madrox (account_id: 46, oid: 281475004227767, played: 3h 43m 21s, session: 12m 24s) on naboo at 4883 6065 - playerLoggedOut
Wed Feb 19 17:50:37 2025 [ServerEventAutomation] playerEvent Isa'Bella (account_id: 39, oid: 281475003589678, played: 15h 27m 21s, session: 0s) on corellia at -133 -5624 - playerLoggedIn
Wed Feb 19 17:50:37 2025 [ServerEventAutomation] playerEvent wyatt (account_id: 46, oid: 281475004349354, played: 2h 22m 11s, session: 0s) on naboo at 4884 6064 - playerLoggedIn
Wed Feb 19 17:51:13 2025 [ServerEventAutomation] playerEvent Gaelan (account_id: 34, oid: 281475000517495, played: 4h 19m 26s, session: 0s) on dantooine at -3129 3796 - playerLoggedIn
Wed Feb 19 17:51:46 2025 [ServerEventAutomation] playerEvent Herra (account_id: 22, oid: 281475003899271, played: 3h 17m 49s, session: 9m 37s) on dantooine at -3051 3651 - playerLoggedOut
Wed Feb 19 17:51:50 2025 [ServerEventAutomation] playerEvent Lap (account_id: 22, oid: 281474998596425, played: 11h 23m 5s, session: 0s) on dantooine at -3050 3654 - playerLoggedIn
Wed Feb 19 17:52:23 2025 [ServerEventAutomation] playerEvent Lap (account_id: 22, oid: 281474998596425, played: 11h 23m 37s, session: 31s) on dantooine at -3050 3652 - playerLoggedOut
Wed Feb 19 17:52:26 2025 [ServerEventAutomation] playerEvent Herra (account_id: 22, oid: 281475003899271, played: 3h 17m 50s, session: 0s) on dantooine at -3051 3651 - playerLoggedIn
Wed Feb 19 17:55:06 2025 [ServerEventAutomation] playerEvent Gaelan (account_id: 34, oid: 281475000517495, played: 4h 23m 19s, session: 3m 52s) on dantooine at -3133 3794 - playerLoggedOut
Wed Feb 19 17:55:13 2025 [ServerEventAutomation] playerEvent Hue (account_id: 34, oid: 281475004489973, played: 7m 29s, session: 7m 28s) on tatooine at 3526 -4806 - playerLoggedOut
Wed Feb 19 17:56:35 2025 [ServerEventAutomation] playerEvent Hue (account_id: 34, oid: 281475004489973, played: 7m 30s, session: 0s) on tatooine at 3526 -4806 - playerLoggedIn
Wed Feb 19 17:57:20 2025 [ServerEventAutomation] playerEvent Gaelan (account_id: 34, oid: 281475000517495, played: 4h 23m 20s, session: 0s) on dantooine at -3133 3794 - playerLoggedIn
Wed Feb 19 18:00:33 2025 [ServerEventAutomation] playerEvent Girly (account_id: 49, oid: 281475004419622, played: 1h 41m 50s, session: 43m 22s) on corellia at 379 -5126 - playerLoggedOut
